Latitude,Longitude,Magnitude
35.9067,139.9683,5
-30.7227,-71.3904,5.7
-18.2309,-174.0869,5.3
-30.8796,-71.4519,6.8
-29.4642,-72.3015,6.2
8.4672,-71.3957,5.3
-3.0708,137.4409,5
16.5675,-95.8796,5
-20.1536,-173.5532,5
-30.1424,-72.2616,5.4
-6.2647,147.5641,5
52.27,-169.449,5.3
39.427,143.4135,5
-3.7259,150.9036,5.5
-8.2173,124.7998,5
56.1986,162.4331,5.2
43.3348,146.1094,5
-8.3487,125.0105,5.1
0.5827,98.0365,5.3
-3.5838,149.7919,5
-6.7492,105.0488,5.1
-3.5489,149.7071,5.6
-3.3712,149.8104,5.1
-8.2033,124.859,5.3
-8.3381,124.8754,6.5
-8.2825,124.9069,5.7
13.4423,145.9775,5.1
-6.9984,129.6771,5.2
32.0869,69.5562,5
51.5608,-173.2709,5.3
51.5746,-173.2402,5
51.5908,-173.3314,5.1
51.5815,-173.3339,5.8
11.9074,-88.9028,5.1
-18.1736,-177.8377,5.2
22.7548,121.6561,5.5
-23.2468,-68.4169,5.8
-39.4005,175.9498,5.3
41.5774,141.9855,5.4
-9.0587,124.0636,5.3
25.0907,99.5721,5.2
-6.1763,129.9874,5.1
-60.9276,-51.0227,5
12.4893,125.708,5
-60.9159,-51.3539,5.1
51.8143,178.5251,5.3
-10.9788,166.3796,5.8
27.4306,66.0114,5
-16.3056,67.0748,5.3
-16.6216,66.5479,5.4
-17.9737,-69.4634,5
-17.9858,-178.4465,5.1
-1.454,97.0565,5.1
36.5244,70.3676,7.5
36.459,70.6847,5.9
-25.2314,178.717,5
-29.3334,-177.7961,5.8
18.2628,-101.611,5.2
-31.442,-71.4883,5
-30.2199,-179.3319,5.5
-2.1661,138.2666,5.8
-45.8146,37.1711,6
-54.2258,6.1653,6.2
29.6377,70.326,5.6
50.8008,-129.9621,5.1
17.9213,147.1916,5.3
-27.8728,74.027,5
-60.3389,-45.3599,5.3
-27.7741,74.0613,5.2
37.3186,141.0771,5.3
-14.8595,167.3028,7.1
-57.4332,-65.8872,5.6
-30.7867,-71.4045,5
27.0743,140.2123,5.7
12.8678,143.9008,5.4
-7.8487,102.3868,5
13.8654,120.6172,5.8
24.7696,122.0479,5.3
-16.1298,-173.3627,5.1
-16.1099,-173.3031,5.1
-16.2018,-173.2608,6
2.8811,126.4992,5
-20.1145,169.2264,5.3
-5.0806,152.9273,5.4
-42.6607,-82.4526,5.6
-55.7445,-27.546,5
-25.4674,-64.4839,5.8
55.5962,159.2114,5.6
-2.5015,-78.7623,5.4
7.6522,-73.3038,5
49.0145,156.173,5
48.8595,156.2259,6
1.8125,128.3198,5.1
34.2965,98.2297,5.1
-40.5837,176.2884,5.6
11.877,57.8101,5.2
7.5362,-77.476,5.2
-31.1866,-71.8325,5
-31.1849,-71.8227,5.6
46.7488,152.4956,5
-54.4856,-135.708,6.1
-8.0486,107.4009,5.2
-60.7167,-20.8492,5.5
-19.0689,169.5158,5.1
-31.7323,-71.7325,5.5
-32.1903,-177.892,5.1
-0.0241,123.8928,5.1
40.6847,36.6897,5.1
-57.4121,-24.7532,5
52.2166,-168.4385,5.1
52.2555,-168.4638,5.1
-30.2705,-177.8803,5
-3.932,-104.1362,5.4
36.1682,29.8952,5.2
12.1177,-88.9955,5.1
51.9487,-179.2558,5.7
-30.3035,-71.5318,5.9
-35.119,179.9587,5
-16.2684,-72.1052,5.3
-30.656,-71.627,5
-30.3105,-72.1018,5.5
-29.8205,-71.7255,5.1
-26.2415,70.8156,5.4
11.8584,-43.7352,5
-30.301,-71.551,5.9
-37.4557,-73.6761,5.8
-33.0345,-178.2791,5
1.3146,125.0141,5.2
-16.2664,-173.8606,5.4
-6.0758,103.6444,5.1
-6.0326,103.7117,5.3
18.0401,-101.3369,5.4
-56.1948,-27.7153,5.7
-7.2019,154.4642,5
-2.5588,140.1977,5.4
